type,country,species,injury,date,sex,fatal
Unprovoked,SOUTH AFRICA,"White shark, 13'",fatal,25-Sep-2022,F,True
Unprovoked,USA,Bu.ll,severe injuries to right arm,22-Sep-2022,M,False
Unprovoked,BAHAMAS,Bull shark,fatal,06-Sep-2022,F,True
Unprovoked,USA,White shark,injuries to left arm and right hand,03-Sep-2022,F,False
Unprovoked,AUSTRALIA,Bronze whaler,puncture wounds to right hand & forearm,31-Aug-2022,M,False
Unprovoked,AUSTRALIA,"White shark, 3 m","no injury, kayak bitten in half",17-Aug-2022,M,False
Unprovoked,USA,White shark,minor injury to leg,15-Aug-2022,F,False
Unprovoked,USA,Blacktip shark,multiple llacerations to right forearm,15-Aug-2022,F,False
Unprovoked,AUSTRALIA,White shark,lacerations to lower legs,15-Aug-2022,M,False
Unprovoked,USA,"Bull shark, 9'","lower left leg severely bitten, necessitating surgical amputation",13-Aug-2022,M,False
Unprovoked,USA,White shark,"no injury, board bitten",10-Aug-2022,M,False
Unprovoked,ENGLAND,Blue shark,minor injury to leg,28-Jul-2022,F,False
Unprovoked,USA,Nurse shark,injury to upper lip,27-Jul-2022,M,False
Unprovoked,USA,Blacktip shark?,minor bite to left  foot,25-Jul-2022,M,False
Unprovoked,USA,6' shark,four-inch cut to right foot,20-Jul-2022,M,False
Unprovoked,USA,White shark,lacerations to lower leg,19-Jul-2022,F,False
Provoked,USA,Lemon shark  6',fingrt bitten while releasing hooked shark provoked incudebt,17-Jul-2022,M,False
Unprovoked,USA,"""A small shark""",minor lacerations to left calf,16-Jul-2022,F,False
Unprovoked,USA,White shark,left wrist and buttocks bitten,13-Jul-2022,M,False
Unprovoked,USA,Thought to involve a 4' sandtiger shark,two-inch laceration to leg,13-Jul-2022,M,False
Unprovoked,USA,6' shark,minor injury to foot,10-Jul-2022,M,False
Unprovoked,USA,White shark,minor injury to foot,07-Jul-2022,M,False
Unprovoked,JAPAN,White shark,fatal,04-Jul-2022,M,True
Unprovoked,USA,White shark,foot bitten,03-Jul-2022,M,False
Unprovoked,USA,5'shark,injuries to chest and right hand,03-Jul-2022,M,False
Unprovoked,INDONESIA,White shark,lacerations to foot,01-Jul-2022,F,False
Unprovoked,EGYPT,Oceaniic whitetip shark/tiger shark,fatal,01-Jul-2022,F,True
Unprovoked,EGYPT,"Oceaniic whitetip shark/tiger shark, 2m shark",fatal,01-Jul-2022,F,True
Unprovoked,USA,Shark involvement not confirmed,injury to right foot,30-Jun-2022,M,False
Unprovoked,USA,9' shark,severe bites to leg,30-Jun-2022,F,False
Unprovoked,USA,White shark,laceration to leg,29-Jun-2022,F,False
Unprovoked,USA,White shark,laceration to leg,29-Jun-2022,M,False
Unprovoked,SOUTH AFRICA,While shark,fatal,28-Jun-2022,M,True
Unprovoked,JAMAICA,"Tiger shark, 15'",right arm severed,24-Jun-2022,M,False
Unprovoked,USA,White shark,leg bitten,23-Jun-2022,F,False
Unprovoked,USA,"White shark, 16'",stomach and leg injuries including a broken femur,22-Jun-2022,M,False
Unprovoked,AUSTRALIA,White shark,minor injury,01-Jun-2022,F,False
Unprovoked,AUSTRALIA,Bull shark,no injury,20-May-2022,M,False
Provoked,BELIZE,5' shark,right hand and forearm bitten provoked incident,19-May-2022,M,False
Unprovoked,MALDIVES,White shark,right cakf bitten when he fell overboard,10-May-2022,M,False
Provoked,USA,Atlantic blacktip shark,thumb bitten by hooked shark provoked incident,03-May-2022,M,False
Unprovoked,THAILAND,1m shark,laceration to left calf,01-May-2022,M,False
Unprovoked,FRENCH POLYNESIA,"Tiger shark, 2 to 2.5m",cut to knee,30-Apr-2022,M,False
Unprovoked,AUSTRALIA,White shark,"no injury, knocked off board by shark chasing a turtle",Reported 27-Apr-2022,M,False
Unprovoked,USA,White shark,laceration to lower leg,17-Apr-2022, M,False
Unprovoked,USA,White shark,bite to right foot,12-Apr-2022,M,False
Unprovoked,USA,4' shark,bite near big toe,11-Apr-2022,M,False
Provoked,USA,Epaulette shark,finger nipped by captive shark provoked incident,09-Apr-2022,F,False
Unprovoked,USA,White shark,no injury to occupants. kayak bitten,07-Apr-2022,M,False
Provoked,USA,White shark,knee bitten                    provoked incident,31-Mar-2022,M,False
Unprovoked,COLUMBIA,Tiger shark,fatal,18-Mar-2022,M,True
